Name,Organization,Project 
Aditya Kapoor,RoboComp,RoboComp is a modern open-source Robotics framework.
Kuter Dinel,The LLVM Compiler Infrastructure,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.
Sai Prasanth Duvvuri,Chapel,"Chapel is an open-source programming language designed for productive parallel
computing at scale."
Bingchang Chen,CNCF,Building sustainable ecosystems for cloud native software
Qi Zeng,Integrated Ocean Observing System (IOOS),IOOS is an integrated network of people/technology gathering observing data and developing tracking and predictive tools. For more info please check https://github.com/ioos/gsoc
Kelvin Kipkorir,openSUSE Project,"The openSUSE project is a community effort to enhance and promote the use of Linux. openSUSE creates one of the world's best Linux distributions, as well as a variety of tools."
Georgios Kosmas,GFOSS - Open Technology Alliance,"Open Technologies Alliance (GFOSS)  is a non-profit organization, with 34 Universities and Research Centers as its shareholders. Our main goal is to promote Openness."
ricardoV94,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Huaxi Jiang,The Apache Software Foundation,Providing open source software to the public free of charge
Delton,Ruby,"The Ruby organization collects mentors and students working on the Ruby language (MRI), the Ruby packaging system (Bundler, RubyGems, and RubyGems.org), and other Ruby projects."
Chandan,JdeRobot - Universidad Rey Juan Carlos,"JdeRobot is a software toolkit for development of Robotics and Computer Vision applications. ROS friendly. It uses Python, C++, JS. It includes an Academy to learn robotics"
Jeffrey Cochran,Godot Engine,Godot is a multi-platform 2D and 3D game engine with a feature-rich editor
Jayasanka Weerasinghe,OpenMRS,The OpenMRS community globally works together to build the world's leading open-source enterprise electronic medical record system platform.
Vineet Sharma,OpenMRS,The OpenMRS community globally works together to build the world's leading open-source enterprise electronic medical record system platform.
Saurabh,OpenMRS,The OpenMRS community globally works together to build the world's leading open-source enterprise electronic medical record system platform.
Huzi Cheng,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Fatih ATES,CNCF,Building sustainable ecosystems for cloud native software
Mahmoud Mandour,QEMU,"QEMU is an emulator and virtualizer that can run x86, ARM, and more virtual machines on a different machine. It has both dynamic binary translation and virtualization capabilities."
Leonardo Coelho Ruas,Liquid Galaxy project,Liquid Galaxy is a panoramic system that runs Google Earth across a PC cluster
Purushottam Tiwari,Zulip,"Zulip is a powerful, open source group chat application with a unique threading model.  Zulip has invested extensively in tooling designed to give contributors a great experience."
Kushal Kumar,Accord Project,Linux Foundation’s open source project for smart legal contracts.
Mridul,Oppia Foundation,"Oppia is a free online learning platform that makes quality education accessible for all. The website is built with Angular 2+ and Python, and we also have an Android application."
Mustafa Dharwala,Cuneiform Digital Library Initiative (CDLI),"CDLI is driven by the mission to enable collection, preservation, and accessibility of information concerning artifacts inscribed the cuneiform script."
Abdullah Deshmukh,Dart,Dart is a client-optimized language for fast apps on any platform.
Shiv Charan Sharma,BRL-CAD,"BRL-CAD partners with several computer-aided technologies (CAx) including LibreCAD, OpenSCAD, FreeCAD, & IfcOpenShell.  We do graphics, geometry, CAD, & CAD standards."
Angad Kambli,Godot Engine,Godot is a multi-platform 2D and 3D game engine with a feature-rich editor
krishna11,The Honeynet Project,The Honeynet Project is a non-profit research organization dedicated to improving the security of the Internet at no cost to the public. Focus is on honeypots and threat analysis.
Akihiro Kiuchi,Continuous Delivery Foundation,The Continuous Delivery Foundation (CDF) is an open-source community that seeks to improve the world’s capacity to deliver software with security and speed.
Ninad Bhat,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Elias Little,The Julia Language,A fresh approach to Technical Computing
Frinksy,Matrix.org,"An open network for secure, decentralized communication"
Chandan Prakash,Sugar Labs,"We make tools that learners use to explore, discover, create, and
reflect. We encourage our users to appropriate them, taking ownership
and responsibility for their learning."
Ashutosh Bharambe,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Kushagra Gupta 99,The R Project for Statistical Computing,"R provides a wide variety of statistical and graphical techniques, and is highly extensible. R is often the tool of choice for research in statistical methodology."
Prathamesh Tagore,Boost C++ Libraries,"Boost provides free peer-reviewed portable C++ source libraries.
We emphasize libraries that work well with the C++ Standard Library and are intended to be widely useful."
Anurag Akella,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
Khushal Agarwal,React Native Elements,React Native Elements is a Cross Platform React Native UI Toolkit
Arthur Cohen,GNU Compiler Collection (GCC),The GNU Compiler Collection (GCC) is a compiler system produced by the GNU Project supporting various programming languages and a variety of native and cross targets.
Sarthak Khattar,The Honeynet Project,The Honeynet Project is a non-profit research organization dedicated to improving the security of the Internet at no cost to the public. Focus is on honeypots and threat analysis.
Goutam Verma,Liquid Galaxy project,Liquid Galaxy is a panoramic system that runs Google Earth across a PC cluster
Suyog Garg,openastronomy,OpenAstronomy is an umbrella organisation that includes open source projects used by researchers and engineers around the world to better understand the universe.
Yang Yang,MetaBrainz Foundation Inc,"The MetaBrainz Foundation is a non-profit that believes in free, open access to data. It curates and publishes community maintained databases focusing on music and books."
Dhruva Gole,BeagleBoard.org Foundation,"BeagleBoard.org is advancing open source hardware and growing the community of embedded Linux developers. This year, we've added RISC-V hardware."
Divyansh Jain,OWASP Foundation,"The Open Web Application Security Project® (OWASP) is a nonprofit foundation that improves application security through open-source projects, local chapters, and conferences."
Edward HUI,Audacity,"Audacity is the most downloaded audio editing app for Windows, Mac and Linux that allows users to record, edit, analyse and process audio."
Ke Zhang,The Apache Software Foundation,Providing open source software to the public free of charge
Anastasiy Belyaev,Tarantool,Tarantool is in-memory computing platform with flexible data schema.
Kodjo Laurent Egbakou,VideoLAN,The VideoLAN project is led by and composed of a team of volunteers who believe in the power of open source to rock the multimedia world.
Shruti Agarwal,FOSSology,"FOSSology is an open source license compliance software system and toolkit. License, copyright and export scanners are tools used in the workflow."
Hwarim Hyun,The Apache Software Foundation,Providing open source software to the public free of charge
Abhinav Anand,mlpack,"mlpack is a fast, flexible machine learning library written in C++."
Vishal Sharma,Xfce,"Xfce is a lightweight desktop environment for UNIX-like operating systems. It aims to be fast and low on system resources, while still being visually appealing and user friendly."
Shreyan Ganguly,Red Hen Lab,Research on Multimodal Communication
Alejandro Domínguez,GNOME Foundation,GNOME is the most popular Linux Free/Libre desktop environment with cutting edge apps. Together we are a diverse and friendly community who support each other in reaching our goal.
ketangupta34,MetaCall,"MetaCall is a extensible, embeddable and interoperable cross-platform polyglot runtime. It supports vanilla JavaScript, TypeScript, Python, Ruby, C#, Go, Rust, D, Cobol and more."
BHARAT BIRADAR,Dart,Dart is a client-optimized language for fast apps on any platform.
Yash Kumar Verma,caMicroscope,"caMicroscope is a digital pathology image viewer with support for human/machine generated annotations, markups, and machine learning development"
Shrey Sachdeva,Open Bioinformatics Foundation,Promoting practice & philosophy of OSS & Open Science in biological research.
Purva Chaudhari,Machine Learning for Science (ML4SCI) Umbrella Organization,Umbrella organization for machine learning applications to open problems in science
Guang Zhang,DBpedia,DBpedia is a crowd-sourced community effort to extract structured information from Wikipedia and make this information available on the Web
Sahaja Belaganti,CNCF,Building sustainable ecosystems for cloud native software
Nishal Kulkarni,GNOME Foundation,GNOME is the most popular Linux Free/Libre desktop environment with cutting edge apps. Together we are a diverse and friendly community who support each other in reaching our goal.
Vedant Shah,GFOSS - Open Technology Alliance,"Open Technologies Alliance (GFOSS)  is a non-profit organization, with 34 Universities and Research Centers as its shareholders. Our main goal is to promote Openness."
Tanishq Gupta,Open Bioinformatics Foundation,Promoting practice & philosophy of OSS & Open Science in biological research.
SeifEldeen Emad,apertus° Association,apertus° is developing free and open technology for professional film production.
Gerardo Duran-Martin,TensorFlow,TensorFlow is an open-source machine learning framework for everyone.
Jakub Duchniewicz,BeagleBoard.org Foundation,"BeagleBoard.org is advancing open source hardware and growing the community of embedded Linux developers. This year, we've added RISC-V hardware."
Utpalendu Barman,CiviCRM LLC,CiviCRM is the leading open source CRM for nonprofits worldwide.
Pawan Wadhwani,RoboComp,RoboComp is a modern open-source Robotics framework.
Karine Pistili,Liquid Galaxy project,Liquid Galaxy is a panoramic system that runs Google Earth across a PC cluster
Rijuta Singh,Oppia Foundation,"Oppia is a free online learning platform that makes quality education accessible for all. The website is built with Angular 2+ and Python, and we also have an Android application."
isolte,xrdesktop,xrdesktop provides integration of traditional desktop compositors with XR on Linux.
Parth Kanakiya,OpenMRS,The OpenMRS community globally works together to build the world's leading open-source enterprise electronic medical record system platform.
Divyam Ahuja,ScummVM,ScummVM is a FOSS game preservation project focused on reliving games by providing a replacement for their executables on modern platforms.
Manuel Drehwald,The LLVM Compiler Infrastructure,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.
Anurag Gupta,Global Alliance for Genomics and Health,"The Global Alliance for Genomics and Health is a technical standards-setting organization, seeking to enable responsible genomic data sharing within a human rights framework."
Saptarshi Majumder,Ceph,"An open-source storage platform, that implements storage on a single distributed computer cluster, and provides a 3-in-1 interfaces for object-, block- and file-level storage."
Ali Eren Yogurtcu,CCExtractor Development,"Tools to make the world more accessible. ML/AI, Rust, Flutter, peer-to-peer..."
Sarthak Garg-1,Zulip,"Zulip is a powerful, open source group chat application with a unique threading model.  Zulip has invested extensively in tooling designed to give contributors a great experience."
Lara Lazier,QEMU,"QEMU is an emulator and virtualizer that can run x86, ARM, and more virtual machines on a different machine. It has both dynamic binary translation and virtualization capabilities."
Harsh Prakash Gupta,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
Ish Bosamiya,Blender Foundation,"Blender is the free/open source 3D creation software for everyone, providing individuals and small teams a complete pipeline for 3D graphics, modeling, animation and games."
Medhavi Srivastava,OpenMRS,The OpenMRS community globally works together to build the world's leading open-source enterprise electronic medical record system platform.
João Vitor F. Cavalcante,The R Project for Statistical Computing,"R provides a wide variety of statistical and graphical techniques, and is highly extensible. R is often the tool of choice for research in statistical methodology."
Hiebl,International Catrobat Association,"Through Catrobat, we want to enable teenagers to learn how to code and how to create their own games, animations, and other apps, directly on their phones."
Oskar Walcher,International Catrobat Association,"Through Catrobat, we want to enable teenagers to learn how to code and how to create their own games, animations, and other apps, directly on their phones."
Nicolas,Shaka Player,Shaka Player is an open-source JavaScript library for streaming adaptive media. It plays adaptive media formats (such as DASH and HLS) in a browser.
Ameya Deshpande,The ns-3 Network Simulator Project,ns-3 is a simulation tool for performance evaluation of computer networks and protocols.  ns-3 users build models and scenarios of networks to conduct simulation experiments.
Arjun Taneja,MuseScore,"MuseScore is a notation app for Windows, Mac and Linux that allows users to create and play high quality sheet music"
ArunagirinadanSudharshan,Ceph,"An open-source storage platform, that implements storage on a single distributed computer cluster, and provides a 3-in-1 interfaces for object-, block- and file-level storage."
Swadesh Jana,Red Hen Lab,Research on Multimodal Communication
kinshuk,INCF,"INCF enables open and FAIR neuroscience by developing and endorsing standards and best practices, and by providing training in neuroinformatics and data management."
Mohit,JabRef e.V.,JabRef is one of the most widely used open-source citation and reference management tools. It helps students and researchers to organize their literature.
Rohit Goswami,Fortran-lang,Fortran-lang is an open source community whose goal is to develop modern infrastructure and online collaborative platforms for the Fortran language.
Dilith Jayakody,Blender Foundation,"Blender is the free/open source 3D creation software for everyone, providing individuals and small teams a complete pipeline for 3D graphics, modeling, animation and games."
Sudhanshu Kumar P,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Nitin Mishra,Free and Open Source Silicon Foundation,Working together to improve the Free and Open Source Silicon ecosystem
Yash Agrawal,Wikimedia Foundation,"Wikimedia is a global movement whose mission is to bring free educational content to the world through its various projects, local chapters, and support structures."
Kaushlendra Pratap Singh,FOSSology,"FOSSology is an open source license compliance software system and toolkit. License, copyright and export scanners are tools used in the workflow."
Siger,LabLua,"LabLua is a research lab dedicated to research on programming languages, with emphasis on the Lua language and reactive programming."
Danish Jamal,The Apache Software Foundation,Providing open source software to the public free of charge
Hanxi Guo,OpenCV,"OpenCV, the Open Source Computer Vision Library includes state of the art computer vision and deep learning algorithms. It is professionally coded and optimized."
Manav Nair,apertus° Association,apertus° is developing free and open technology for professional film production.
Kai A. Hiller,GNOME Foundation,GNOME is the most popular Linux Free/Libre desktop environment with cutting edge apps. Together we are a diverse and friendly community who support each other in reaching our goal.
Mohit Balwani,SymPy,SymPy is a Python library for symbolic mathematics. It is a full-featured computer algebra system (CAS). SymPy is written entirely in Python.
Sai Bhushan,Processing Foundation,The Processing Foundation’s mission is to promote software literacy and visual literacy — and to make these fields accessible to diverse communities.
Kamil Albrycht,Global Alliance for Genomics and Health,"The Global Alliance for Genomics and Health is a technical standards-setting organization, seeking to enable responsible genomic data sharing within a human rights framework."
Aditi-Singh,freifunk,Freifunk is part of a global movement for free infrastructure. Our vision is the democratization of media with free networks. Wireless communities implement this idea worldwide.
Anastasia Neklepaeva,Tarantool,Tarantool is in-memory computing platform with flexible data schema.
sp35,The Honeynet Project,The Honeynet Project is a non-profit research organization dedicated to improving the security of the Internet at no cost to the public. Focus is on honeypots and threat analysis.
Crane yang,ScummVM,ScummVM is a FOSS game preservation project focused on reliving games by providing a replacement for their executables on modern platforms.
Jingchen YE,mypy,"Mypy is a static type checker for Python. The mypy project also develops mypyc, a compiler for type-annotated Python."
parth-07,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
Peddi Sai Varshith,caMicroscope,"caMicroscope is a digital pathology image viewer with support for human/machine generated annotations, markups, and machine learning development"
Xin Yue Chen,Internet Archive,"Wayback Machine - Turn All References Blue
Open Library - The Internet's Librarian
BookReader
Archive.org Front-end Web Components (IAUX)"
lusceu,The Honeynet Project,The Honeynet Project is a non-profit research organization dedicated to improving the security of the Internet at no cost to the public. Focus is on honeypots and threat analysis.
jasondk,MetaBrainz Foundation Inc,"The MetaBrainz Foundation is a non-profit that believes in free, open access to data. It curates and publishes community maintained databases focusing on music and books."
Roberto Rosmaninho,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Pokemod97,TianoCore,TianoCore is the community supporting an open source implementation of the Unified Extensible Firmware Interface (UEFI). EDK II is our firmware development environment.
michaeokoko,MariaDB Foundation,"MariaDB is a default MySQL replacement in many Linux distributions. It offers many feature enhancements including new storage engines, advanced optimizations, and other features."
Meet Bhatnagar,The R Project for Statistical Computing,"R provides a wide variety of statistical and graphical techniques, and is highly extensible. R is often the tool of choice for research in statistical methodology."
Anjani Kumar,KDE Community,"The KDE community produces Free and Open Source Software and brings together artists, designers, programmers, translators, users, writers and other contributors from everywhere"
Magali Lemes,The Linux Foundation,"The Linux Foundation is a non-profit consortium dedicated to fostering the growth of Linux. Hosting the Linux Kernel. OpenPrinting, Linux Standards Base, SPDX, ..."
earthshakira,Polypheny,Polypheny is a novel & innovative adaptive database system. It efficiently processes heterogeneous workloads by combining specialized storage engines based on a learned cost model.
adi10hero,Continuous Delivery Foundation,The Continuous Delivery Foundation (CDF) is an open-source community that seeks to improve the world’s capacity to deliver software with security and speed.
Aditya-Dubey,Oppia Foundation,"Oppia is a free online learning platform that makes quality education accessible for all. The website is built with Angular 2+ and Python, and we also have an Android application."
Anand Kumar,openastronomy,OpenAstronomy is an umbrella organisation that includes open source projects used by researchers and engineers around the world to better understand the universe.
suraj kulriya,The Linux Foundation,"The Linux Foundation is a non-profit consortium dedicated to fostering the growth of Linux. Hosting the Linux Kernel. OpenPrinting, Linux Standards Base, SPDX, ..."
Ida Delphine,RTEMS Project,"RTEMS is an operating system used in satellites, particle accelerators, robots, racing motorcycles, building controls, medical devices, and more."
Alexandros Manochis,GeomScale,"GeomScale is a research and development project that delivers open source code in the intersection of data science, optimization, geometric and statistical computing."
Zhipeng Zhao,DBpedia,DBpedia is a crowd-sourced community effort to extract structured information from Wikipedia and make this information available on the Web
Riken Shah,Zulip,"Zulip is a powerful, open source group chat application with a unique threading model.  Zulip has invested extensively in tooling designed to give contributors a great experience."
Pritam Saha,National Resource for Network Biology (NRNB),"The National Resource for Network Biology (NRNB) organizes the development of free, open source software to enable network-based visualization, analysis, and biomedical discovery."
Yash Patel,The Terasology Foundation,"The Terasology Foundation is the organization behind Terasology, DestinationSol, and a series of related work aimed at making game development in Java easier and more fun."
Matvey Luboshnikov,Synfig,Synfig is a 2D open-source animation software. It is capable to produce vector artwork and also can work with bitmap images.
Michal Klein,The LLVM Compiler Infrastructure,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.
Gaurav Genani,Cilium,"Cilium provides eBPF-based networking, observability, and security with optimal scale and performance for platform teams operating Kubernetes environments."
Pratik Baid,CCExtractor Development,"Tools to make the world more accessible. ML/AI, Rust, Flutter, peer-to-peer..."
Hrithik Kumar,Haiku,"Haiku is an open-source operating system that specifically targets personal computing. Inspired by the BeOS, Haiku is fast, simple to use, easy to learn and yet very powerful."
Kacper Kujawski,RoboComp,RoboComp is a modern open-source Robotics framework.
Harsh Mishra,AOSSIE,The Australian umbrella organization for open-source projects.
Rakshita Varadarajan,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
Srikar Reddy Jilugu,TensorFlow,TensorFlow is an open-source machine learning framework for everyone.
Svea Marie Meyer,INCF,"INCF enables open and FAIR neuroscience by developing and endorsing standards and best practices, and by providing training in neuroinformatics and data management."
Priyanshu Jain,Kodi,The ultimate entertainment center
ThenoobMario,gprMax,"Numerical modelling software for simulating electromagnetic wave propagation, and the most widely-used tool for simulating Ground Penetrating Radar (GPR)."
Tejasvi Gupta,The R Project for Statistical Computing,"R provides a wide variety of statistical and graphical techniques, and is highly extensible. R is often the tool of choice for research in statistical methodology."
Anshu Khare,LibreOffice,"LibreOffice is a lively and diverse community, delivering a full-featured cross-platform office suite. We value new contributors, just as we prize Open Source and Open Standards."
Anshuman Singh,DeepPavlov,DeepPavlov is an open-source stack for building multiskill AI assistants.
Amish Garg,TensorFlow,TensorFlow is an open-source machine learning framework for everyone.
Diptanshu Mittal,INCF,"INCF enables open and FAIR neuroscience by developing and endorsing standards and best practices, and by providing training in neuroinformatics and data management."
Xinyu Zhou,Casbin,"Authorization library that supports access control models like ACL, RBAC, ABAC"
mikit,SPDX,"SPDX is an open standard for communicating software bill of material information, including provenance, license, security, and other related information."
Harsh Bardhan Mishra,MetaCall,"MetaCall is a extensible, embeddable and interoperable cross-platform polyglot runtime. It supports vanilla JavaScript, TypeScript, Python, Ruby, C#, Go, Rust, D, Cobol and more."
Hongli Zhao,SageMath,"SageMath is a free open-source mathematics software system licensed under the GPL.
It’s mission is “creating a viable free alternative to Magma, Maple, Mathematica and Matlab”."
Ahmat Hamdan,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
Adrij Shikhar,SCoRe Lab,SCoRe Lab is a research lab that seeks sustainable solutions for various problems in developing countries.
Hyeongyu Kim,The LLVM Compiler Infrastructure,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.
Siddharth Saha,JdeRobot - Universidad Rey Juan Carlos,"JdeRobot is a software toolkit for development of Robotics and Computer Vision applications. ROS friendly. It uses Python, C++, JS. It includes an Academy to learn robotics"
Anais Gonzalez,Processing Foundation,The Processing Foundation’s mission is to promote software literacy and visual literacy — and to make these fields accessible to diverse communities.
Diego Porras,OWASP Foundation,"The Open Web Application Security Project® (OWASP) is a nonprofit foundation that improves application security through open-source projects, local chapters, and conferences."
Yifan Wang,TensorFlow,TensorFlow is an open-source machine learning framework for everyone.
Konstantin Sidorov,The LLVM Compiler Infrastructure,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.
Tirth Patel,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Varun Jain,The Apache Software Foundation,Providing open source software to the public free of charge
Yash Prakash,CHAOSS Project,CHAOSS is an open source project focused on creating analytics and metrics to help define community health. The CHAOSS Project community is organized around software and metrics.
Diego Urgell,The R Project for Statistical Computing,"R provides a wide variety of statistical and graphical techniques, and is highly extensible. R is often the tool of choice for research in statistical methodology."
Shashwat Dalakoti,JdeRobot - Universidad Rey Juan Carlos,"JdeRobot is a software toolkit for development of Robotics and Computer Vision applications. ROS friendly. It uses Python, C++, JS. It includes an Academy to learn robotics"
Anaswara T Rajan,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
Jayesh Desai,DBpedia,DBpedia is a crowd-sourced community effort to extract structured information from Wikipedia and make this information available on the Web
Chetan Karwa,Fortran-lang,Fortran-lang is an open source community whose goal is to develop modern infrastructure and online collaborative platforms for the Fortran language.
Rohan Mallick,caMicroscope,"caMicroscope is a digital pathology image viewer with support for human/machine generated annotations, markups, and machine learning development"
Tarindu Jayatilaka,The LLVM Compiler Infrastructure,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.
Ashutosh Kumar-1,DBpedia,DBpedia is a crowd-sourced community effort to extract structured information from Wikipedia and make this information available on the Web
Fawzi E. Abdulfattah,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Anushka Chakraborty,Google FHIR SDK,"The Android FHIR SDK is an Android library for building offline-capable, mobile-first healthcare applications using FHIR resources on Android."
Suraj Choubey,GeomScale,"GeomScale is a research and development project that delivers open source code in the intersection of data science, optimization, geometric and statistical computing."
Martin Gius,Haskell.org,"Haskell is an advanced, purely functional programming language. It boasts a strong type system with type inference. It compiles to fast native code with a concurrent runtime."
Manjot Sidhu,CircuitVerse.org,"CircuitVerse is an easy to use digital logic circuit simulator which aims at providing a platform to interactively create, share and learn digital circuits."
Aditya R Rudra,INCF,"INCF enables open and FAIR neuroscience by developing and endorsing standards and best practices, and by providing training in neuroinformatics and data management."
Shubhaditya Burela,MBDyn,MBDyn is a free general-purpose multibody/multiphysics solver
Sourabha G,Sugar Labs,"We make tools that learners use to explore, discover, create, and
reflect. We encourage our users to appropriate them, taking ownership
and responsibility for their learning."
CaitlinHaedrich,OSGeo - Open Source Geospatial Foundation,OSGeo is a non-profit organization serving as an umbrella organization for the Open Source Geospatial community.
Aitik Gupta,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Angelina Panagopoulou,The R Project for Statistical Computing,"R provides a wide variety of statistical and graphical techniques, and is highly extensible. R is often the tool of choice for research in statistical methodology."
Aakash Hemadri,The Linux Foundation,"The Linux Foundation is a non-profit consortium dedicated to fostering the growth of Linux. Hosting the Linux Kernel. OpenPrinting, Linux Standards Base, SPDX, ..."
Tim Reichelt,The Julia Language,A fresh approach to Technical Computing
George Dialektakis,CERN-HSF,"CERN-HEP Software Foundation, the umbrella organization for particle physics in GSoC"
Ilya Zarubin,The R Project for Statistical Computing,"R provides a wide variety of statistical and graphical techniques, and is highly extensible. R is often the tool of choice for research in statistical methodology."
Marc Prat Masó,Open Chemistry,"Open Chemistry is a collection of open source chemistry tools for the creation, exploration, analysis, and visualization of chemical data."
Amey Varhade,Machine Learning for Science (ML4SCI) Umbrella Organization,Umbrella organization for machine learning applications to open problems in science
pingport80,Metasploit,The world’s most used penetration testing framework
Shashwat,LibreHealth,"LibreHealth is collaborative community for free & open source software projects in Health IT, and is a member project of Software Freedom Conservancy."
Nikolaos Kokkinis,GFOSS - Open Technology Alliance,"Open Technologies Alliance (GFOSS)  is a non-profit organization, with 34 Universities and Research Centers as its shareholders. Our main goal is to promote Openness."
Divyam Singal,Boost C++ Libraries,"Boost provides free peer-reviewed portable C++ source libraries.
We emphasize libraries that work well with the C++ Standard Library and are intended to be widely useful."
Saurav Shrivastav,PostgreSQL,"PostgreSQL is a powerful, open source object-relational database system."
Mugilraj D,The Linux Foundation,"The Linux Foundation is a non-profit consortium dedicated to fostering the growth of Linux. Hosting the Linux Kernel. OpenPrinting, Linux Standards Base, SPDX, ..."
Tushar Guha Neogi,Bench-Routes,Bench-routes is a tool that monitors network performance of APIs and metrics from system and apps. It also enables visualizing values in graphs.
Oliver Madine,Haskell.org,"Haskell is an advanced, purely functional programming language. It boasts a strong type system with type inference. It compiles to fast native code with a concurrent runtime."
Sugam Srivastava,The NetBSD Foundation,A free portable operating system
aley,TensorFlow,TensorFlow is an open-source machine learning framework for everyone.
Dimitrios Iatrakis,Plan 9 Foundation,"Plan 9 is an operating system for distributed computing. The ideas from Plan 9 have also shown up in other projects like Inferno and plan9port, which also fall under our umbrella."
Antonin Jolivat,OpenStreetMap,"OpenStreetMap was started because most maps you think of as free have restrictions on their use, holding back people from using them in creative, productive, or unexpected ways."
Punit Lodha,CCExtractor Development,"Tools to make the world more accessible. ML/AI, Rust, Flutter, peer-to-peer..."
Shreyaa Sharma,Ceph,"An open-source storage platform, that implements storage on a single distributed computer cluster, and provides a 3-in-1 interfaces for object-, block- and file-level storage."
Pranjal Singh,The Honeynet Project,The Honeynet Project is a non-profit research organization dedicated to improving the security of the Internet at no cost to the public. Focus is on honeypots and threat analysis.
Sang Truong,The R Project for Statistical Computing,"R provides a wide variety of statistical and graphical techniques, and is highly extensible. R is often the tool of choice for research in statistical methodology."
Chinmay Vibhute,"Department of Biomedical Informatics (BMI), Emory University School of Medicine","We are pushing the boundaries at the intersection of data science, software research and development, and integrative biomedical research to advance healthcare."
Vladyslav Hnatiuk,Matrix.org,"An open network for secure, decentralized communication"
Lucas Wang,KDE Community,"The KDE community produces Free and Open Source Software and brings together artists, designers, programmers, translators, users, writers and other contributors from everywhere"
Arib Alam,TARDIS SN,TARDIS is a community-developed tool to simulate the spectrum of light emitted by exploding stars using Monte Carlo techniques.
Vishnu Madhav,GNU Compiler Collection (GCC),The GNU Compiler Collection (GCC) is a compiler system produced by the GNU Project supporting various programming languages and a variety of native and cross targets.
Pranshu Kharkwal,The Linux Foundation,"The Linux Foundation is a non-profit consortium dedicated to fostering the growth of Linux. Hosting the Linux Kernel. OpenPrinting, Linux Standards Base, SPDX, ..."
Kaustubh Chaudhari,NumFOCUS,"NumFOCUS supports and promotes world-class, innovative, open source scientific software."
Rohit Sutradhar,OpenCV,"OpenCV, the Open Source Computer Vision Library includes state of the art computer vision and deep learning algorithms. It is professionally coded and optimized."
Khushal Uttam,International Catrobat Association,"Through Catrobat, we want to enable teenagers to learn how to code and how to create their own games, animations, and other apps, directly on their phones."
Quanwen Chen,GNU Mailman Project,"GNU Mailman is free software for web management of electronic mail discussion and e-newsletter lists, and individual user accounts, with all the features you need."
Shayan Majumder,LibreCube Initiative,At LibreCube we build open source systems for exploration of Earth and Space using open source hardware and software
pruhnuhv,RTEMS Project,"RTEMS is an operating system used in satellites, particle accelerators, robots, racing motorcycles, building controls, medical devices, and more."
Lahiru Udayanga De Silva,JBoss Community,JBoss Community is a community of open source projects around JBoss middleware
Rafael Badell,AerospaceResearch.net,"Making space together. Space is interdisciplinary, international & intercultural. We live this philosophy. Help the space community realizing our dream of open space for everybody"
Valentin Boettcher,KDE Community,"The KDE community produces Free and Open Source Software and brings together artists, designers, programmers, translators, users, writers and other contributors from everywhere"
Naveen Sai,SymPy,SymPy is a Python library for symbolic mathematics. It is a full-featured computer algebra system (CAS). SymPy is written entirely in Python.
Nolan Windham,Internet Archive,"Wayback Machine - Turn All References Blue
Open Library - The Internet's Librarian
BookReader
Archive.org Front-end Web Components (IAUX)"
Shiyu Liu,Android Graphics Tools Team,Providing excellent tools for graphics developers and driver makers
leachim,The Julia Language,A fresh approach to Technical Computing
Niteesh Babu G S,QEMU,"QEMU is an emulator and virtualizer that can run x86, ARM, and more virtual machines on a different machine. It has both dynamic binary translation and virtualization capabilities."
Egor Zverev,MapAction,"MapAction works to process and visualize data in disaster responses (and increasingly, for disaster preparedness) to help humanitarian organizations reach those most in need."
Rahul Saxena,The R Project for Statistical Computing,"R provides a wide variety of statistical and graphical techniques, and is highly extensible. R is often the tool of choice for research in statistical methodology."
Flynn,Debian,"Debian is a free operating system (OS). It provides more than an OS, coming with over 51,000 software packages bundled in a nice format for easy installation on your machine."
